Year,Team,Wiki,Region,Country,Track,Kind
2019,BGU_Israel,http://2019.igem.org/Team:BGU_Israel,Asia,Israel,New Application,Collegiate
2019,BHSF_ND,http://2019.igem.org/Team:BHSF_ND,Asia,China,High School,High School
2019,Bielefeld-CeBiTec,http://2019.igem.org/Team:Bielefeld-CeBiTec,Europe,Germany,Foundational Advance,Collegiate
2019,Bilkent-UNAMBG,http://2019.igem.org/Team:Bilkent-UNAMBG,Europe,Turkey,Therapeutics,Collegiate
2019,Bioriidl_Somaiya,http://2019.igem.org/Team:Bioriidl_Somaiya,Asia,India,Foundational Advance,Community Lab
2019,Bio_Without_Borders,http://2019.igem.org/Team:Bio_Without_Borders,North America,United States,High School,High School
2019,BIT,http://2019.igem.org/Team:BIT,Asia,China,Environment,Collegiate
2019,BIT-China,http://2019.igem.org/Team:BIT-China,Asia,China,New Application,Collegiate
2019,BM-AMU,http://2019.igem.org/Team:BM-AMU,Asia,China,Foundational Advance,Collegiate
2019,BNDS_China,http://2019.igem.org/Team:BNDS_China,Asia,China,High School,High School
2019,BNU-China,http://2019.igem.org/Team:BNU-China,Asia,China,Therapeutics,Collegiate
