time,k_ts,k_tl,k_mat,k_cat,k_s,kc_s,k_l,k_tlr,k_m,deg_mrna,deg_tlr 
1605.0,0.40358808636665344,0.3914933204650879,0.3922532796859741,0.4397345781326294,0.1713257133960724,0.0077492669224739075,0.22086787223815918,4.31556554758572e-06,0.31947481632232666,0.001259655226022005,0.022108053788542747
1606.0,0.403466135263443,0.391427218914032,0.39222612977027893,0.43941548466682434,0.1710907369852066,0.007753557059913874,0.2206873595714569,4.316043487051502e-06,0.3193618357181549,0.0012588530080392957,0.022106051445007324
1607.0,0.40334364771842957,0.3913612365722656,0.39219850301742554,0.4390956163406372,0.1708560436964035,0.007757824379950762,0.22050662338733673,4.316508238844108e-06,0.31924858689308167,0.0012580499751493335,0.02210402488708496
1608.0,0.40322068333625793,0.3912954032421112,0.39217042922973633,0.4387750029563904,0.17062164843082428,0.007762067951261997,0.22032566368579865,4.31696071245824e-06,0.31913506984710693,0.0012572460109367967,0.022101974114775658
1609.0,0.40309715270996094,0.39122965931892395,0.3921419084072113,0.43845364451408386,0.17038753628730774,0.007766288239508867,0.22014446556568146,4.317399998399196e-06,0.3190212547779083,0.001256441231817007,0.022099899128079414
1610.0,0.40297314524650574,0.39116403460502625,0.3921129107475281,0.43813154101371765,0.17015370726585388,0.007770485710352659,0.21996302902698517,4.317827006161679e-06,0.31890714168548584,0.0012556356377899647,0.02209779992699623
1611.0,0.40284860134124756,0.3910985291004181,0.39208346605300903,0.43780872225761414,0.1699201762676239,0.0077746594324707985,0.21978138387203217,4.318241280998336e-06,0.31879276037216187,0.0012548291124403477,0.022095678374171257
1612.0,0.4027235507965088,0.3910331428050995,0.3920535743236542,0.4374851584434509,0.1696869283914566,0.007778809405863285,0.21959950029850006,4.318642822909169e-06,0.3186781108379364,0.0012540218885987997,0.022093534469604492
1613.0,0.40259796380996704,0.39096787571907043,0.3920232355594635,0.437160849571228,0.16945397853851318,0.0077829365618526936,0.21941737830638885,4.319032086641528e-06,0.3185631334781647,0.001253213849849999,0.022091366350650787
1614.0,0.4024718999862671,0.39090272784233093,0.3919924199581146,0.4368358552455902,0.16922132670879364,0.007787039969116449,0.21923503279685974,4.319408617448062e-06,0.31844791769981384,0.0012524049961939454,0.022089175879955292
1615.0,0.40234532952308655,0.390837699174881,0.3919611871242523,0.4365101158618927,0.16898897290229797,0.0077911196276545525,0.21905244886875153,4.319772870076122e-06,0.31833237409591675,0.001251595444045961,0.022086963057518005
1616.0,0.4022182524204254,0.3907727599143982,0.3919294774532318,0.4361836612224579,0.168756902217865,0.00779517600312829,0.2188696265220642,4.320124844525708e-06,0.31821659207344055,0.0012507850769907236,0.022084729745984077
1617.0,0.4020906388759613,0.39070793986320496,0.3918973207473755,0.43585649132728577,0.16852514445781708,0.007799208629876375,0.21868658065795898,4.32046454079682e-06,0.3181004822254181,0.0012499740114435554,0.02208247408270836
1618.0,0.4019625782966614,0.39064323902130127,0.39186471700668335,0.43552863597869873,0.16829366981983185,0.007803217973560095,0.21850329637527466,4.320791958889458e-06,0.31798413395881653,0.0012491621309891343,0.02208019606769085
1619.0,0.40183398127555847,0.39057862758636475,0.3918316662311554,0.435200035572052,0.1680625081062317,0.0078072031028568745,0.21831978857517242,4.321107098803623e-06,0.3178674578666687,0.0012483495520427823,0.0220778975635767
1620.0,0.40170490741729736,0.3905141353607178,0.3917981684207916,0.43487077951431274,0.1678316444158554,0.007811164949089289,0.2181360423564911,4.321409960539313e-06,0.3177505135536194,0.0012475362746044993,0.022075578570365906
1621.0,0.40157532691955566,0.39044973254203796,0.39176422357559204,0.4345407783985138,0.167601078748703,0.00781510304659605,0.21795205771923065,4.32170099884388e-06,0.3176333010196686,0.0012467222986742854,0.022073237225413322
1622.0,0.40144526958465576,0.3903854489326477,0.39172986149787903,0.4342101216316223,0.16737082600593567,0.007819017395377159,0.2177678346633911,4.321979758969974e-06,0.3175157904624939,0.0012459076242521405,0.022070877254009247
1623.0,0.40131470561027527,0.3903212547302246,0.3916950225830078,0.43387874960899353,0.1671408712863922,0.007822907529771328,0.21758337318897247,4.322246695664944e-06,0.31739798188209534,0.0012450922513380647,0.02206849679350853
