time,k_ts,k_tl,k_mat,k_cat,k_s,kc_s,k_l,k_tlr,k_m,deg_mrna,deg_tlr 
3058.0,0.11076663434505463,0.12088092416524887,0.11279643326997757,0.08928236365318298,0.0375068224966526,0.0029586469754576683,0.009137345477938652,4.384385647426825e-06,0.0756961777806282,0.0011084128636866808,0.017791634425520897
3059.0,0.1180684044957161,0.14298264682292938,0.12074581533670425,0.08004751801490784,0.04484426602721214,0.0025352565571665764,0.010466348379850388,4.3377940528444014e-06,0.07698655873537064,0.001087429584003985,0.016653507947921753
3060.0,0.11187360435724258,0.11699572205543518,0.11409807950258255,0.07928747683763504,0.04296901077032089,0.002713104011490941,0.011197255924344063,4.094141786481487e-06,0.07657075673341751,0.0009736731299199164,0.01768631674349308
3061.0,0.13129813969135284,0.11976052820682526,0.12181881815195084,0.09177783131599426,0.03653654083609581,0.0028563910163939,0.010357150807976723,4.430419267009711e-06,0.08304371684789658,0.0010458542965352535,0.0163711104542017
3062.0,0.12573598325252533,0.13136476278305054,0.12328452616930008,0.09268193691968918,0.0375957265496254,0.002897446509450674,0.011232390068471432,4.4773273657483514e-06,0.07677257806062698,0.0011882318649441004,0.01409769244492054
3063.0,0.12276637554168701,0.1180688813328743,0.12701231241226196,0.08507426828145981,0.04257453233003616,0.0029320823960006237,0.009175358340144157,4.135364633839345e-06,0.07256912440061569,0.0009689319995231926,0.01374818105250597
3064.0,0.12872987985610962,0.10895201563835144,0.11476056277751923,0.08673176914453506,0.04092153161764145,0.0028491744305938482,0.011306664906442165,4.8992833399097435e-06,0.07714179158210754,0.0009977341396734118,0.014283545315265656
3065.0,0.1227962002158165,0.11948344111442566,0.12632589042186737,0.07654520869255066,0.04181342571973801,0.003322261618450284,0.009097247384488583,4.0547743083152454e-06,0.06605957448482513,0.0010030056582763791,0.016000637784600258
3066.0,0.1207592785358429,0.09995383769273758,0.12462197244167328,0.07494505494832993,0.045735299587249756,0.002618934027850628,0.010106165893375874,4.173417892161524e-06,0.07992410659790039,0.0010514871682971716,0.015443549491465092
3067.0,0.1326935589313507,0.12117317318916321,0.11488094180822372,0.07262949645519257,0.04253444820642471,0.002521645277738571,0.010916313156485558,4.922304924548371e-06,0.07995770871639252,0.0008940802072174847,0.01899162493646145
