time,k_ts,k_tl,k_mat,k_cat,k_s,kc_s,k_l,k_tlr,k_m,deg_mrna,deg_tlr 
2806.0,0.3034164607524872,0.2944413125514984,0.26620981097221375,0.20968365669250488,0.09528793394565582,0.005700584501028061,0.04171022027730942,8.292088750749826e-06,0.1994524598121643,0.002128313295543194,0.033401116728782654
2807.0,0.30328068137168884,0.294262558221817,0.2661244571208954,0.20956330001354218,0.09523872286081314,0.005701114423573017,0.041611138731241226,8.29636337584816e-06,0.19929015636444092,0.0021285221446305513,0.03339797630906105
2808.0,0.3031446635723114,0.29408374428749084,0.2660389542579651,0.20944276452064514,0.09518957138061523,0.00570165179669857,0.04151220619678497,8.300633453472983e-06,0.1991277039051056,0.0021287284325808287,0.03339483588933945
2809.0,0.3030083179473877,0.2939048409461975,0.26595330238342285,0.20932208001613617,0.0951404869556427,0.005702196154743433,0.04141342639923096,8.304899893119e-06,0.19896511733531952,0.002128932159394026,0.03339169919490814
2810.0,0.3028717339038849,0.2937259078025818,0.2658675014972687,0.20920121669769287,0.09509146213531494,0.005702747963368893,0.041314803063869476,8.309161785291508e-06,0.1988023966550827,0.0021291335579007864,0.03338856250047684
2811.0,0.3027348220348358,0.2935468852519989,0.2657814919948578,0.20908020436763763,0.09504250437021255,0.005703306291252375,0.041216328740119934,8.313420039485209e-06,0.19863954186439514,0.002129332395270467,0.03338542953133583
2812.0,0.30259764194488525,0.29336780309677124,0.26569536328315735,0.20895901322364807,0.09499361366033554,0.005703871604055166,0.04111800715327263,8.317674655700102e-06,0.19847653806209564,0.002129528671503067,0.03338230028748512
2813.0,0.3024601936340332,0.2931886613368988,0.2656090557575226,0.20883767306804657,0.0949447751045227,0.0057044439017772675,0.04101983830332756,8.321924724441487e-06,0.1983134001493454,0.002129722386598587,0.03337917476892471
2814.0,0.3023224472999573,0.2930094301700592,0.2655225992202759,0.20871615409851074,0.09489600360393524,0.005705022718757391,0.04092182219028473,8.326170245709363e-06,0.1981501281261444,0.0021299137733876705,0.0333760529756546
2815.0,0.30218443274497986,0.29283013939857483,0.26543596386909485,0.20859448611736298,0.09484729915857315,0.005705608054995537,0.040823958814144135,8.330412128998432e-06,0.19798672199249268,0.0021301028318703175,0.03337293118238449
2816.0,0.30204614996910095,0.29265081882476807,0.2653491795063019,0.20847266912460327,0.09479865431785583,0.005706200376152992,0.04072624444961548,8.334649464813992e-06,0.1978231817483902,0.0021302890963852406,0.03336981683969498
2817.0,0.30190756916999817,0.29247140884399414,0.265262246131897,0.20835067331790924,0.0947500690817833,0.005706798750907183,0.04062868654727936,8.338882253156044e-06,0.19765950739383698,0.002130473032593727,0.03336670249700546
2818.0,0.3017687201499939,0.29229193925857544,0.26517513394355774,0.20822851359844208,0.09470154345035553,0.005707404110580683,0.040531281381845474,8.343111403519288e-06,0.19749568402767181,0.002130654640495777,0.03336359187960625
2819.0,0.30162960290908813,0.2921123802661896,0.2650878429412842,0.20810620486736298,0.09465308487415314,0.005708015523850918,0.04043402522802353,8.347336915903725e-06,0.1973317414522171,0.002130833687260747,0.03336048871278763
2820.0,0.3014901876449585,0.2919327914714813,0.26500043272972107,0.20798374712467194,0.09460467845201492,0.005708632990717888,0.04033692181110382,8.351556971319951e-06,0.19716767966747284,0.0021310101728886366,0.03335738554596901
2821.0,0.30135050415992737,0.2917531132698059,0.26491284370422363,0.20786111056804657,0.09455633908510208,0.005709256511181593,0.04023997485637665,8.35577338875737e-06,0.19700346887111664,0.0021311843302100897,0.03335428982973099
2822.0,0.30121055245399475,0.2915734052658081,0.26482507586479187,0.20773832499980927,0.09450805932283401,0.00570988655090332,0.040143176913261414,8.35998525872128e-06,0.1968391388654709,0.0021313561592251062,0.033351197838783264
2823.0,0.30107033252716064,0.29139360785484314,0.26473715901374817,0.20761537551879883,0.09445983916521072,0.005710522178560495,0.040046531707048416,8.364193490706384e-06,0.1966746747493744,0.002131525194272399,0.03334810957312584
2824.0,0.30092984437942505,0.2912137508392334,0.26464909315109253,0.20749227702617645,0.09441167861223221,0.005711164325475693,0.039950039237737656,8.368396265723277e-06,0.19651007652282715,0.0021316921338438988,0.03334502503275871
2825.0,0.3007890582084656,0.2910338342189789,0.26456084847450256,0.20736901462078094,0.09436357766389847,0.005711812060326338,0.03985369950532913,8.372595402761362e-06,0.19634535908699036,0.0021318565122783184,0.033341944217681885
2826.0,0.300648033618927,0.2908538579940796,0.26447245478630066,0.2072456032037735,0.0943155363202095,0.005712465383112431,0.039757512509822845,8.37678999232594e-06,0.19618050754070282,0.002132018329575658,0.033338870853185654
2827.0,0.30050671100616455,0.2906738221645355,0.2643839120864868,0.20712202787399292,0.09426755458116531,0.005713124293833971,0.0396614745259285,8.380980034417007e-06,0.19601553678512573,0.0021321778185665607,0.03333580121397972
2828.0,0.3003651201725006,0.2904937267303467,0.26429519057273865,0.2069983035326004,0.0942196324467659,0.0057137892581522465,0.039565593004226685,8.385166438529268e-06,0.1958504319190979,0.002132334979251027,0.033332739025354385
2829.0,0.30022329092025757,0.29031357169151306,0.26420632004737854,0.20687441527843475,0.09417176246643066,0.005714459344744682,0.03946986049413681,8.389347385673318e-06,0.19568520784378052,0.0021324895787984133,0.03332968056201935
2830.0,0.30008116364479065,0.29013335704803467,0.2641172707080841,0.20675037801265717,0.0941239520907402,0.005715135484933853,0.03937428444623947,8.393524694838561e-06,0.19551986455917358,0.002132641850039363,0.03332662582397461
2831.0,0.29993876814842224,0.2899530529975891,0.26402807235717773,0.20662617683410645,0.09407620131969452,0.005715816747397184,0.03927885740995407,8.397696547035594e-06,0.1953543871641159,0.0021327915601432323,0.03332357481122017
2832.0,0.29979613423347473,0.28977271914482117,0.2639387249946594,0.20650184154510498,0.09402851015329361,0.005716503132134676,0.03918358311057091,8.401864761253819e-06,0.19518879055976868,0.0021329389419406652,0.033320534974336624
2833.0,0.29965320229530334,0.28959232568740845,0.2638491988182068,0.2063773274421692,0.09398087859153748,0.005717194639146328,0.03908846154808998,8.406027518503834e-06,0.1950230747461319,0.0021330839954316616,0.03331749513745308
2834.0,0.29951003193855286,0.28941187262535095,0.2637595236301422,0.20625267922878265,0.09393329918384552,0.005717891734093428,0.03899349272251129,8.410186637775041e-06,0.19485723972320557,0.0021332264877855778,0.03331446647644043
2835.0,0.2993665635585785,0.2892313599586487,0.2636696994304657,0.20612786710262299,0.09388577938079834,0.005718593951314688,0.03889867290854454,8.414340300078038e-06,0.1946912705898285,0.0021333666518330574,0.03331143781542778
2836.0,0.299222856760025,0.28905075788497925,0.26357969641685486,0.20600292086601257,0.09383831173181534,0.005719300825148821,0.038804009556770325,8.418490324402228e-06,0.19452519714832306,0.0021335044875741005,0.033308420330286026
2837.0,0.29907888174057007,0.2888701260089874,0.2634895443916321,0.20587779581546783,0.09379090368747711,0.005720012821257114,0.03870949521660805,8.422634891758207e-06,0.19435900449752808,0.002133639995008707,0.03330540657043457
2838.0,0.2989346385002136,0.28868943452835083,0.263399213552475,0.20575253665447235,0.09374354779720306,0.005720729939639568,0.038615137338638306,8.42677582113538e-06,0.19419267773628235,0.0021337729413062334,0.03330240026116371
2839.0,0.2987901568412781,0.28850868344306946,0.26330873370170593,0.20562712848186493,0.09369625151157379,0.005721451714634895,0.0385209284722805,8.430911293544341e-06,0.19402624666690826,0.0021339035592973232,0.03329940140247345
2840.0,0.29864540696144104,0.2883278727531433,0.26321810483932495,0.20550155639648438,0.0936490073800087,0.005722178146243095,0.038426872342824936,8.435042218479794e-06,0.19385969638824463,0.0021340318489819765,0.033296406269073486
2841.0,0.2985003888607025,0.2881470024585724,0.26312729716300964,0.20537585020065308,0.09360182285308838,0.0057229092344641685,0.038332968950271606,8.439168595941737e-06,0.19369302690029144,0.0021341575775295496,0.03329341858625412
2842.0,0.2983551025390625,0.2879660725593567,0.2630363404750824,0.20524998009204865,0.09355469048023224,0.005723644979298115,0.038239214569330215,8.44328951643547e-06,0.1935262531042099,0.00213428121060133,0.03329043835401535
2843.0,0.2982095777988434,0.2877851128578186,0.2629452347755432,0.20512397587299347,0.09350761026144028,0.005724385380744934,0.03814561665058136,8.447406798950396e-06,0.1933593600988388,0.00213440228253603,0.03328746557235718
2844.0,0.2980637848377228,0.28760406374931335,0.2628539502620697,0.20499780774116516,0.0934605821967125,0.005725129973143339,0.03805216774344444,8.451518624497112e-06,0.19319234788417816,0.0021345210261642933,0.0332845002412796
2845.0,0.2979177236557007,0.2874229848384857,0.26276251673698425,0.2048715054988861,0.09341361373662949,0.005725879222154617,0.03795887157320976,8.455625902570318e-06,0.19302521646022797,0.0021346374414861202,0.03328154236078262
2846.0,0.2977714240550995,0.2872418165206909,0.26267093420028687,0.20474503934383392,0.09336669743061066,0.005726632662117481,0.03786572813987732,8.459728633170016e-06,0.19285798072814941,0.002134751295670867,0.03327858820557594
2847.0,0.2976248860359192,0.28706061840057373,0.26257917284965515,0.204618439078331,0.093319833278656,0.005727390293031931,0.03777273744344711,8.463825906801503e-06,0.1926906406879425,0.002134863054379821,0.03327564522624016
2848.0,0.2974780797958374,0.28687936067581177,0.2624872624874115,0.20449168980121613,0.09327302128076553,0.005728152114897966,0.037679899483919144,8.467918632959481e-06,0.19252318143844604,0.0021349722519516945,0.03327270969748497
2849.0,0.2973310053348541,0.28669804334640503,0.2623951733112335,0.20436479151248932,0.09322626143693924,0.0057289176620543,0.03758721053600311,8.47200681164395e-06,0.19235561788082123,0.0021350793540477753,0.03326977789402008
2850.0,0.29718369245529175,0.2865166664123535,0.2623029351234436,0.20423774421215057,0.09317956119775772,0.005729687865823507,0.03749467432498932,8.476090442854911e-06,0.19218793511390686,0.002135183895006776,0.033266857266426086
2851.0,0.2970361113548279,0.2863352596759796,0.26221054792404175,0.2041105479001999,0.09313290566205978,0.005730461794883013,0.03740229085087776,8.480168617097661e-06,0.19202014803886414,0.00213528610765934,0.03326394408941269
2852.0,0.2968882918357849,0.28615376353263855,0.26211801171302795,0.20398321747779846,0.09308630228042603,0.005731239449232817,0.03731006011366844,8.4842413343722e-06,0.19185225665569305,0.002135386224836111,0.03326103836297989
2853.0,0.29674023389816284,0.2859722375869751,0.26202529668807983,0.2038557380437851,0.09303975105285645,0.005732021294534206,0.03721798211336136,8.48830950417323e-06,0.19168426096439362,0.002135483780875802,0.033258143812417984
2854.0,0.2965919077396393,0.28579065203666687,0.2619324326515198,0.2037281095981598,0.09299325197935104,0.005732806399464607,0.037126053124666214,8.492373126500752e-06,0.19151614606380463,0.0021355790086090565,0.03325525298714638
2855.0,0.2964433431625366,0.28560900688171387,0.2618394196033478,0.20360033214092255,0.09294680505990982,0.005733595695346594,0.037034276872873306,8.496431291860063e-06,0.19134792685508728,0.0021356719080358744,0.033252373337745667
2856.0,0.29629454016685486,0.2854273319244385,0.26174622774124146,0.20347242057323456,0.09290041029453278,0.005734388250857592,0.036942653357982635,8.500484909745865e-06,0.19117961823940277,0.0021357624791562557,0.03324950113892555
2857.0,0.2961454689502716,0.2852455675601959,0.2616528868675232,0.20334435999393463,0.09285406023263931,0.005735184531658888,0.0368511825799942,8.504533070663456e-06,0.1910111904144287,0.002135850954800844,0.033246636390686035
2858.0,0.29599615931510925,0.285063773393631,0.261559396982193,0.20321616530418396,0.09280776232481003,0.005735984072089195,0.036759860813617706,8.508575774612837e-06,0.1908426582813263,0.0021359368693083525,0.03324378281831741
2859.0,0.2958466112613678,0.28488191962242126,0.26146572828292847,0.20308782160282135,0.09276151657104492,0.005736787337809801,0.03666869178414345,8.512613931088708e-06,0.1906740367412567,0.002136020455509424,0.03324093669652939
2860.0,0.29569682478904724,0.28470003604888916,0.261371910572052,0.202959343791008,0.092715322971344,0.005737593863159418,0.036577675491571426,8.516647540091071e-06,0.19050529599189758,0.002136101946234703,0.03323810175061226
2861.0,0.2955467700958252,0.2845180630683899,0.2612779438495636,0.2028307169675827,0.09266917407512665,0.005738403648138046,0.03648681193590164,8.520675692125224e-06,0.1903364658355713,0.0021361808758229017,0.033235274255275726
2862.0,0.29539647698402405,0.28433606028556824,0.26118379831314087,0.20270195603370667,0.09262306988239288,0.005739216692745686,0.036396097391843796,8.524698387191165e-06,0.19016753137111664,0.0021362577099353075,0.03323245421051979
